ReportName,Category,CDS,CDX,VDP,Option,SortOrder
reportappcount,sarg,Y,Y,Y,-,"AppType,ProtectedApps,UnprotectedApps,TotalApps,Protected(%)"
reportapphistory,sarg,Y,Y,Y,-,"HostName,AppName,AppID,FirstStatTime,LastStatTime,OldestMDL(GiB),CurrentMDL(GiB)"
reportapphistory,sarg,Y,Y,Y,s,"HostName,AppName,AppID,FirstStatTime,LastStatTime,OldestSnapPool(GiB),CurrentSnapPool(GiB)"
reportapps,sarg,Y,Y,Y,-,"AppType,HostName,AppName,AppID,Template,Profile,Ignored,VirtSize(GB),MDLStat(GB),VDisks,Stage(GB),Snaps(GB),Total(GB),Dedups,PostCompress(GB),LastExpirationDate,Organizations,StatDate,ApplianceName,FromMount"
reportapps,sarg,Y,Y,Y,f,"OriginalAppName,OriginalAppID,ParentAppID,AppID,AppType,Hostname,Appname,AppIDTree,AppNameTree"
reportaudit,sarg,Y,Y,Y,-,"IssueDate,UserName,IPAddress,Component,JobName,ID,Command"
reportaudit,sarg,Y,Y,Y,t,"UserName,Type,Count,RESTAPI,GUI,Desktop,SSH(udstask)"
reportcanceledjobs,sarg,Y,Y,Y,-,"StartDate,JobName,JobClass,PolicyName,HostName,AppName,AppID,Duration,Message,RetryCommand"
reportcloneconsumption,sarg,Y,Y,Y,-,"ParentAppID,AppID,UniqueID,ParentAppName,Type,HostName,AppName,SnapData(GB),MaxSnapData(GB),SnapLogs(GB),Dedup(GB)"
reportcloneconsumption,sarg,Y,Y,Y,m,"ParentAppID,AppID,UniqueID,ParentAppName,Type,HostName,AppName,SourceSnapData(GB),MaxSourceSnapData(GB),MountSnapData(GB),SnapLogs(GB),Dedup(GB)"
reportclonedisks,sarg,Y,Y,Y,-,"DiskName,MappedHost(s),Apptype,Hostname,AppName,AppID,DiskSize(GB),CreationDate,UUID"
reportclones,sarg,Y,Y,Y,-,"StartDate,JobName,JobClass,HostName,AppName,AppID,TargetHost,Duration,VirtSize(GB),AppSize(GB),DedupRestored(GB),DataCopied(GB),UserName"
reportcompliance,sarg,Y,Y,Y,-,"AppType,HostName,AppName,AppID,Template,Profile,AppSize(GB),Snapshot,DirectDedup,Dedup,RemoteDedup,ProdMirror,OnVault"
reportconnectoroptions,sarg,Y,Y,Y,-,"AppType,HostName,AppName,AppID,Template,Profile,SLAID,connectoroptions"
reportconnectors,sarg,Y,Y,Y,-,"Platform,Hostname,OSType,HostID,IPAddress,DBAuthentication,InstalledVersion,AvailableVersion,VersionCheck,DiskPref,Transport"
reportconnectors,sarg,Y,Y,Y,s,"UpLevel,DownLevel,Total"
reportconsumption,sarg,Y,Y,Y,-,"SourceAppliance,AppID,HostName,AppName,SnapData(GB),SnapLogs(GB),SnapMounts(GB),Dedup(GB),DedupChildren(GB),OnVault(GB)"
reportdaily,sarg,Y,Y,Y,-,"AppType,HostName,AppName,AppID,Template,Profile,AppSize(GB),DataCopied(GB),Logs,Snaps,D2D,Dedup,RemDup,ProdMirror,OnVault,Failed,NotRun,ProdMirrorDate"
reportdailyfailures,sarg,Y,Y,Y,-,"AppType,HostName,AppName,AppID,Template,Profile,AppSize(GB),Snap,D2D,Dedup,RemDup,ProdMirror,OnVault,Expires,Mounts,Total"
reportdarusage,sarg,Y,Y,Y,-,"StartDate,JobName,JobClass,HostName,AppName,AppID,TargetHost,Duration,VirtSize(GB),AppSize(GB)"
reportdedupasyncs,sarg,Y,Y,Y,-,"StartDate,JobName,JobClass,PolicyName,HostName,AppName,AppID,Duration,VirtSize(GB),AppSize(GB),DataCopied(MB),WroteLocal(MB),TotalSent(MB),LocalSaving%,WANReduction%"
reportdedupratio,sarg,Y,Y,Y,-,"Total number of images,Logical copy data(TiB),Dedup pool used(TiB),Dedup efficiency ratio"
reportdedupratio,sarg,Y,Y,Y,t,"Description,Statistic"
reportdedups,sarg,Y,Y,Y,-,"StartDate,JobName,JobClass,PolicyName,HostName,AppName,AppID,Duration,CaptureType,VirtSize(GB),AppSize(GB),BytesRead(MB),PostDedup(MB),PostCompress(MB),Saving%,Ratio,ExpirationDate"
reportdirectdedups,sarg,Y,Y,Y,-,"StartDate,JobName,JobClass,PolicyName,HostName,AppName,AppID,Duration,CaptureType,VirtSize(GB),AppSize(GB),BytesRead(MB),PostDedup(MB),PostCompress(MB),Saving%,Ratio,ChangeRate%,ExpirationDate"
reportdirectdedups,sarg,Y,Y,Y,g,"StartDate,JobName,JobClass,PolicyName,HostName,AppName,AppID,Duration,CaptureType,VirtSize(GB),AppSize(GB),BytesRead(GB),PostDedup(GB),PostCompress(GB),Saving%,Ratio,ChangeRate%,ExpirationDate"
reportdisables,sarg,Y,Y,Y,-,"SLAID,Function,Date,AppID,HostName,AppName,EnableCommand"
reportdisables,sarg,Y,Y,Y,u,"SLAID,Function,Date,AppID,HostName,AppName,EnableCommand,Username"
reporteverything,sarg,Y,Y,Y,-,"AppType,HostName,AppName,AppID,HostID,Ignored,ConsistencyGroupID,ConsistencyGroupName,GroupMemberID,GroupID,GroupName,SLAID,ScheduleOff,DedupAsyncOff,TemplateID,TemplateName,ProfileID,ProfileName,LocalNode,RemoteNode,VirtualSize(GB),Snaps,DirectDedups,Dedups,RemoteDudups,LiveClones,DedupAsyncs,SnapStreams,OnVaults,SnapshotDate,DirectDedupDate,DedupDate,RemoteDedupDate,LiveCloneDate,DedupAsyncDate,SnapStreamDate,OnVaultDate"
reportfabric,sarg,N,N,Y,-,"HostName,HostID,HostType,HostIQN,HostIPs,eth*"
reportfabric,sarg,N,N,Y,i,"HostName,HostID,HostType,HostIQN,HostIPs,eth*"
reportfabric,sarg,N,N,Y,p,"NodeName,PortType,PortID,MAC,LinkState,LinkSpeed,IP,iSCSI_IQN"
reportfabric,sarg,Y,N,N,-,"FabricType,VendorType,HostName,MappedHostName,MappedHostType,Status,WWPN,N1P*,N2P*"
reportfabric,sarg,Y,N,N,i,"FabricType,VendorType,HostName,MappedHostName,MappedHostType,HostStatus,HostIQN,Node1*,Node2*"
reportfabric,sarg,Y,N,N,p,"NodeName,PortType,PortID,WWPN/MAC,nPortID,LinkState,LinkSpeed,IP,iSCSI_IQN"
reportfabric,sarg,N,Y,N,-,*
reportfabric,sarg,N,Y,N,i,"HostName,HostID,HostType,HostIQN,HostIPs,eth*,bond*"
reportfabric,sarg,N,Y,N,p,"ClusterName,NodeName,InterfaceType,InterfaceName,Function,MAC/WWPN,State,LinkSpeed,IPAddress/FCID,IQN"
reportfailedjobs,sarg,Y,Y,Y,-,"StartDate,JobName,JobClass,Status,PolicyName,HostName,AppName,AppID,Duration,CaptureType,ErrorCode,Message,RetryCommand"
reportfailedjobs,sarg,Y,Y,Y,f,"Startdate,JobClass,Status,PolicyName,HostName,AppName,AppID,ErrorCode,Count,Message,LastSuccessfulJob,LastDuration,LastJobName"
reportfailedjobs,sarg,Y,Y,Y,x,"Startdate,JobClass,Status,PolicyName,HostName,AppName,AppID,ErrorCode,Count,Message,LastSuccessfulJob,LastDuration,LastJobName"
reportfctree,sarg,Y,Y,Y,-,"AppType,HostName,AppName,AppID,MountedHost,Label,vDiskType,vDiskName,DiskPool,UsedCapacity(GB),TotalCapacity(GB),CreationDate,CompressionRatio,ImageName,ConsistencyDate"
reportgroups,sarg,Y,Y,Y,-,"GroupID,GroupName,GroupType,AppType,HostName,AppName,AppID,Template,Profile,IgnoredStatus,InstanceName,Clustered"
reporthealth,sarg,Y,Y,Y,-,"CheckName,Result,Status"
reporthealth,sarg,Y,Y,Y,i,"Process,MemoryUsage(MB),Uptime"
reportimagecount,sarg,Y,Y,Y,-,"AppType,HostName,AppName,AppID,SourceCluster,Template,Profile,Vols,AppSize(GB),Snaps,D2D,Dedup,RemDup,OnVaults,LiveClone,Mount,Total,ProdMirrorDate"
reportimages,sarg,Y,Y,Y,-,"ImageName,JobClass,HostName,AppName,AppID,AppSize(GB),ConsistencyDate,EndPIT,ExpirationDate,SourceCluster,Label,ImmutabilityDate,RestoreableObjects,CloudPool"
reportimages,sarg,Y,Y,Y,m,"ImageName,JobClass,HostName,AppName,AppID,AppSize(GB),ConsistencyDate,ExpirationDate,SourceCluster,PolicyName,MigrateCommand,CheckCommand,ExpireCommand"
reportimages,sarg,Y,N,N,s,"ImageName,JobClass,HostName,AppName,AppID,Vols,VirtualSize(GB),AppSize(GB),StageUsed(GB),SnapshotUsed(GB),ConsistencyDate,ExpirationDate,SourceCluster,StagingDisks,SnapshotDisks"
reportimages,sarg,N,Y,Y,s,"ImageName,JobClass,HostName,AppName,AppID,Vols,VirtualSize(GB),AppSize(GB),StageUsed(GB),SharedSnapshotUsed(GB),SnapshotUsed(GB),ConsistencyDate,ExpirationDate,SourceCluster,StagingDisks,SnapshotDisks,CompressionRatio"
reportimages,sarg,Y,Y,Y,y,"ImageName,JobClass,HostName,AppName,AppID,AppSize(GB),ConsistencyDate,EndPIT,ExpirationDate,SourceCluster,BackupLock,RestoreLock,ImmutabilityDate,ImageStatus,ExpireCommand"
reportinband,sarg,Y,Y,Y,-,"DiskName,DiskSize(GB),MappedHost(s),Apptype,Hostname,AppName,AppID,Snapshot,UUID,Type"
reportjobcount,sarg,Y,Y,Y,-,"Event,Count"
reportliveclones,sarg,Y,Y,Y,-,"StartDate,JobName,JobClass,PolicyName,HostName,AppName,AppID,Duration,VirtSize(GB),AppSize(GB),DataCopied(GB),ChangeRate(%)"
reportmappeddisks,sarg,Y,N,N,-,"DiskName,DiskSize(GB),MappedHost,Apptype,Hostname,AppName,AppID,RunningJob,LUNID,UUID"
reportmappeddisks,sarg,Y,N,N,u,"DiskName,DiskSize(GB),MappedHost,Apptype,Hostname,AppName,AppID,RunningJob,LUNID,UnmapCommand"
reportmappeddisks,sarg,N,Y,Y,-,"VDiskName,DiskSize(GB),MappedHost,Apptype,Hostname,AppName,AppID,RunningJob,LUNID,UUID"
reportmappeddisks,sarg,N,Y,Y,u,"VDiskName,DiskSize(GB),MappedHost,Apptype,Hostname,AppName,AppID,RunningJob,LUNID,UnmapCommand"
reportmdiskspace,sarg,N,Y,Y,-,"PoolName,DiskName,DiskSize,FreeSpace,DeviceName,SCSI_ID,DiskInfo"
reportmdiskspace,sarg,Y,N,N,-,"PoolName,MDiskName,Status,MDiskSize(GB),ExtentSize(MB),TotalExtents,FreeExtents,FreeSpace(GB),Controller,LUNID(hex),LUNID(dec)"
reportmountedimages,sarg,Y,Y,Y,-,"MountImageName,OriginalImageName,OriginalClass,ConsistencyDate,LastMountDate,AppType,SourceHost,SourceApp,SourceAppID,MountedHost,MountedAppName,VirtSize(GB),ConsumedSize(GB),Label,UnmountDeleteCommand,Transport,RestoreableObjects,Age,ParentSnap(GB),MountedAppID,UserName,ReadMode"
reportmountedimages,sarg,Y,Y,Y,b,"MountImageName,AppType,SourceHost,SourceApp,SourceAppID,MountedHost,MountedAppName,MountedHostID,RestoreOptions"
